SIM,Tipo,Configurazione,CL,Cd,Path
RESULT_GIO,be183_056_goe431_no_naso,be183_056_goe431_no_naso,-0.591781,0.208819,RESULT_GIO/be183_056_goe431_no_naso/Results.txt
RESULT_GIO,be183_056_s1210_no_naso,be183_056_s1210_no_naso,-1.043526,0.228931,RESULT_GIO/be183_056_s1210_no_naso/results.txt
RESULT_GIO,eppler398_goe431_no_naso,eppler398_goe431_no_naso,-1.149139,0.209252,RESULT_GIO/eppler398_goe431_no_naso/Results.txt
RESULT_GIO,eppler398_be092_075_si_naso,eppler398_be092_075_si_naso,-2.339048,0.303657,RESULT_GIO/eppler398_be092_075_si_naso/Results.txt
RESULT_GIO,naca6412_goe431_no_naso,naca6412_goe431_no_naso,-1.198293,0.202523,RESULT_GIO/naca6412_goe431_no_naso/Results.txt
RESULT_GIO,eppler398_s1210_no_naso,eppler398_s1210_no_naso,-1.146635,0.210253,RESULT_GIO/eppler398_s1210_no_naso/results.txt
RESULT_GIO,eppler398_be123_076_no_naso,eppler398_be123_076_no_naso,-1.128607,0.203982,RESULT_GIO/eppler398_be123_076_no_naso/Results.txt
RESULT_GIO,eppler398_s1210_si_naso,eppler398_s1210_si_naso,-2.330011,0.297108,RESULT_GIO/eppler398_s1210_si_naso/results.txt
RESULT_GIO,eppler398_be123_076_si_naso,eppler398_be123_076_si_naso,-2.294318,0.30837,RESULT_GIO/eppler398_be123_076_si_naso/Results.txt
RESULT_GIO,naca6412_goe431_si_naso,naca6412_goe431_si_naso,-2.463809,0.325448,RESULT_GIO/naca6412_goe431_si_naso/Results.txt
RESULT_GIO,eppler398_be092_075_no_naso,eppler398_be092_075_no_naso,-1.147991,0.206557,RESULT_GIO/eppler398_be092_075_no_naso/Results.txt
RESULT_GIO,eppler398_goe431_si_naso,eppler398_goe431_si_naso,-2.342844,0.312093,RESULT_GIO/eppler398_goe431_si_naso/Results.txt
RESULT_GIO,be183_056_s1210_si_naso,be183_056_s1210_si_naso,-2.222953,0.338273,RESULT_GIO/be183_056_s1210_si_naso/results.txt
RESULT_GIO,be183_056_goe431_si_naso,be183_056_goe431_si_naso,-2.230906,0.336908,RESULT_GIO/be183_056_goe431_si_naso/Results.txt
RESULT_GIO,be183_056_eppler61_si_naso,be183_056_eppler61_si_naso,-2.107632,0.306761,RESULT_GIO/be183_056_eppler61_si_naso/Results.txt
