Configurazione,CL,Cd
Be_153_055_Be_092_075,-1.112736651,0.2216693465
Be_153_055_Be_123_076,-1.071355198,0.212896316
Be_153_055_Eppler_61,-1.117139411,0.2146791564
Be_153_055_Goe431,-1.08093602,0.2175654747
Be_153_055_S1210,-1.105693024,0.2235559762
Be_153_055_WortmannFx_082_512,-1.050070051,0.2072841572
Be_183_105_Be_092_075,-0.0914719764,0.2252180251
Be_183_105_Be_123_076,-0.08793082203,0.2235674205
Be_183_105_Eppler_61,-0.1121179634,0.2241760225
Be_183_105_Goe431,-0.09922792796,0.2259483713
Be_183_105_S1210,-0.08880164815,0.2269329829
Be_183_105_WortmannFx_082_512,-0.06632960747,0.2164184493
Eppler_396_Be_092_075,-1.208539819,0.1957182916
Eppler_396_Be_123_076,-1.205538735,0.1962500649
Eppler_396_Eppler_61,-1.24735098,0.192775546
Eppler_396_Goe431,-1.203316788,0.1952307284
Eppler_396_S1210,-1.242343,0.204603
Eppler_396_WortmannFx_082_512,-1.175707236,0.1867947071
be183_056_be092_075_no_muso,-0.996143,0.21642
be183_056_be123_076_no_muso,-1.006897,0.217438
be183_056_eppler61_no_muso,-1.045771,0.218256
be183_056_goe431_no_muso,-0.591781,0.208819
be183_056_s1210_no_muso,-1.043526,0.228931
be183_056_wortmann_no_muso,-0.550447,0.196978
eppler398_be092_075_no_muso,-1.147991,0.206557
eppler398_be123_076_no_muso,-1.128607,0.203982
eppler398_eppler61_no_muso,-1.172034,0.204161
eppler398_goe431_no_muso,-1.149139,0.209252
eppler398_s1210_no_muso,-1.146635,0.210253
eppler398_wortmann_no_muso,-1.108876,0.196504
naca6412_be092_075_no_muso,-1.216701,0.205523
naca6412_be123_076_no_muso,-1.183329,0.199891
naca6412_eppler61_no_muso,-1.220674,0.205113
naca6412_goe431_no_muso,-1.198293,0.202523
naca6412_s1210_no_muso,-1.218559,0.208274
naca6412_wortmann_no_muso,-1.142501,0.197196
be153-076_be092-075,-0.999305,0.227667
be153-076_be123-076,-0.979156,0.223097
be153-076_eppler61,-1.04948,0.227001
be153-076_goe431,-0.979476,0.22413
be153-076_s1210,-1.020343,0.235505
naca4412_be123-076,-1.320518,0.182784
naca4412_eppler61,-1.368807,0.177598
naca4412_goe431,-2.377692,0.278343
naca4412_s1210,-1.358925,0.189118
naca4412_wortmannfx082-512,-1.265712,0.166009
s1223_be092-075,-1.078501,0.240538
s1223_be123-076,-1.05769,0.241167
s1223_eppler61,-1.111048,0.241172
s1223_goe431,-1.063827,0.24268
s1223_s1210,-1.08049,0.248071
s1223_wortmannfx082-512,-1.021622,0.230195
