Configurazione,alpha,Cd,CL,J
naca4412_wortmannfx082-512,0.0,0.166009,-1.265712,1.0
naca4412_wortmannfx082-512,0.05263157894736842,0.166009,-1.265712,0.9746793218808786
naca4412_wortmannfx082-512,0.10526315789473684,0.166009,-1.265712,0.9493586437617569
naca4412_wortmannfx082-512,0.15789473684210525,0.166009,-1.265712,0.9240379656426354
naca4412_wortmannfx082-512,0.21052631578947367,0.166009,-1.265712,0.8987172875235139
naca4412_wortmannfx082-512,0.2631578947368421,0.166009,-1.265712,0.8733966094043925
naca4412_wortmannfx082-512,0.3157894736842105,0.166009,-1.265712,0.8480759312852709
naca4412_wortmannfx082-512,0.3684210526315789,0.166009,-1.265712,0.8227552531661493
naca4412_wortmannfx082-512,0.42105263157894735,0.166009,-1.265712,0.7974345750470279
naca4412_wortmannfx082-512,0.47368421052631576,0.166009,-1.265712,0.7721138969279064
naca4412_wortmannfx082-512,0.5263157894736842,0.166009,-1.265712,0.7467932188087848
naca4412_wortmannfx082-512,0.5789473684210527,0.166009,-1.265712,0.7214725406896633
naca4412_wortmannfx082-512,0.631578947368421,0.166009,-1.265712,0.6961518625705418
naca4412_goe431,0.6842105263157894,0.278343,-2.377692,0.6842105263157894
naca4412_goe431,0.7368421052631579,0.278343,-2.377692,0.7368421052631579
naca4412_goe431,0.7894736842105263,0.278343,-2.377692,0.7894736842105263
naca4412_goe431,0.8421052631578947,0.278343,-2.377692,0.8421052631578947
naca4412_goe431,0.894736842105263,0.278343,-2.377692,0.894736842105263
naca4412_goe431,0.9473684210526315,0.278343,-2.377692,0.9473684210526315
naca4412_goe431,1.0,0.278343,-2.377692,1.0
